Age,Gender,Attendance,Study_Hours,Previous_Grade,Assignments_Submitted,Family_Income,Internet_Access,Parental_Education,Distance_From_College,Scholarship,Extracurricular,Semester,CGPA,Backlogs,Dropout
21,Female,61,1,57,9,31889,No,Graduate,10,Yes,Yes,7,6.66,4,1
17,Female,67,7,53,0,58899,No,Graduate,17,No,Yes,1,7.52,2,0
24,Female,48,7,74,2,20770,Yes,School,23,No,No,4,9.86,4,1
21,Male,65,6,83,6,49321,Yes,Postgraduate,29,No,No,3,7.19,3,0
21,Male,48,2,80,9,95962,Yes,Graduate,26,Yes,Yes,2,9.43,3,1
23,Female,54,2,99,0,51777,Yes,Graduate,6,No,Yes,7,4.5,3,1
20,Female,49,4,46,6,56250,Yes,School,14,No,No,2,5.15,4,1
22,Female,63,4,80,4,83034,No,School,22,No,No,8,6.64,4,0
20,Male,97,6,52,0,50130,No,Postgraduate,22,No,No,7,7.51,4,0
19,Male,96,4,57,0,91931,No,School,6,No,No,2,8.9,0,0
23,Male,81,2,76,0,59346,Yes,Graduate,26,Yes,No,1,9.93,4,1
24,Male,47,7,52,8,12537,Yes,Graduate,7,Yes,Yes,3,6.33,3,1
20,Female,63,3,75,2,94762,Yes,Graduate,12,No,Yes,8,4.28,1,0
18,Female,55,5,70,4,25216,No,Graduate,3,No,No,5,8.81,4,1
19,Female,88,3,41,9,94149,Yes,Postgraduate,14,Yes,No,2,7.63,1,0
17,Male,65,3,55,8,13009,Yes,Postgraduate,22,No,Yes,7,5.19,3,1
24,Male,66,2,48,5,99904,No,School,19,Yes,No,3,6.97,4,1
19,Male,76,3,48,8,39327,Yes,School,23,No,Yes,4,8.45,0,0
23,Female,43,6,77,7,24209,No,School,16,No,Yes,1,8.62,0,0
21,Female,89,1,50,7,58443,Yes,Postgraduate,7,Yes,Yes,3,7.0,1,0
21,Male,63,4,93,0,25029,Yes,Graduate,8,No,Yes,3,5.83,5,1
23,Female,58,1,95,8,77613,No,School,18,Yes,No,5,9.84,0,1
25,Male,75,7,61,5,89443,No,Graduate,25,Yes,No,3,7.98,0,0
21,Male,99,5,72,8,66997,No,School,13,Yes,Yes,5,6.45,0,0
17,Female,78,4,75,2,72559,No,School,21,No,No,1,5.68,3,1
17,Male,49,3,84,2,74892,No,School,9,Yes,No,1,8.39,0,0
18,Female,64,5,62,5,80409,No,School,10,Yes,No,4,5.45,2,0
22,Male,57,4,84,8,18635,Yes,School,21,No,No,5,5.03,4,1
25,Female,58,6,84,6,43065,Yes,Graduate,23,No,Yes,5,7.18,0,0
24,Female,75,6,73,2,43783,No,School,27,No,No,2,5.74,5,1
21,Female,49,6,48,2,44152,Yes,Graduate,9,No,Yes,2,7.77,5,1
17,Male,72,6,63,1,68741,No,Postgraduate,15,No,Yes,4,4.71,0,0
23,Male,94,3,47,8,61502,Yes,School,20,No,No,1,7.93,0,0
21,Female,89,1,46,2,39092,No,Graduate,2,Yes,Yes,6,5.7,2,1
22,Female,44,4,75,4,27653,Yes,Postgraduate,25,No,No,2,4.0,0,1
23,Male,86,3,57,8,50469,Yes,Postgraduate,13,Yes,No,3,4.76,0,0
19,Male,88,6,42,7,96483,Yes,Postgraduate,2,No,Yes,1,9.6,4,0
19,Male,74,7,67,1,69754,Yes,Graduate,19,Yes,No,6,9.2,5,0
21,Female,83,1,45,2,39978,Yes,School,26,Yes,Yes,8,5.4,2,1
22,Male,73,7,83,1,97592,No,School,2,No,Yes,3,8.67,5,0
25,Male,72,5,83,7,53169,No,Graduate,3,No,No,7,7.65,2,0
21,Female,94,7,60,5,58287,No,School,6,Yes,No,5,9.83,5,0
17,Male,60,5,67,5,64745,Yes,Graduate,3,No,No,1,6.24,0,0
20,Male,56,5,79,8,15543,No,School,10,No,Yes,7,8.09,5,1
21,Male,61,6,93,7,66392,Yes,Postgraduate,24,Yes,No,4,4.38,5,1
21,Female,87,5,93,3,31067,Yes,School,27,Yes,Yes,5,6.38,2,0
23,Female,76,2,40,3,61033,Yes,Graduate,6,Yes,Yes,5,9.78,1,0
20,Female,54,4,75,8,55256,No,Graduate,23,No,No,3,7.23,2,0
17,Female,74,4,60,0,79345,Yes,Postgraduate,16,No,No,7,5.73,2,0
21,Female,67,6,99,1,32191,No,Graduate,17,No,No,5,4.72,2,0
23,Female,46,2,82,1,96803,No,School,19,No,Yes,2,8.22,3,1
22,Female,71,7,74,5,82742,Yes,School,3,Yes,No,1,7.87,3,0
21,Male,50,3,52,3,96593,Yes,Postgraduate,18,No,Yes,2,6.24,3,1
20,Male,49,7,96,9,38992,No,Graduate,7,Yes,No,3,9.71,2,0
18,Female,48,3,88,2,91531,No,Postgraduate,9,No,No,6,4.13,1,1
20,Male,53,5,93,2,58803,No,School,20,No,Yes,8,5.82,2,1
19,Male,52,1,93,2,73477,No,Postgraduate,12,Yes,Yes,3,9.53,0,1
17,Female,96,3,49,5,23210,No,Graduate,5,No,No,1,5.93,1,0
24,Male,64,1,92,7,93329,No,Postgraduate,3,No,No,5,5.51,3,1
21,Male,41,4,83,6,36270,Yes,Graduate,11,Yes,No,7,7.21,5,1
20,Male,74,1,86,3,72008,No,Graduate,25,No,No,7,8.94,5,1
24,Male,46,4,92,3,15197,No,School,4,Yes,No,4,4.62,4,1
23,Male,60,2,49,9,17452,No,School,5,Yes,Yes,3,9.66,1,0
18,Female,57,2,85,1,51486,No,School,1,Yes,Yes,1,8.77,3,1
17,Female,42,6,52,0,24859,Yes,Graduate,27,Yes,Yes,4,5.09,1,1
20,Female,81,6,76,8,37236,Yes,Postgraduate,28,No,Yes,5,8.27,1,0
24,Male,93,5,77,1,41899,No,Graduate,29,No,No,6,6.31,5,0
18,Female,78,3,63,7,42083,No,School,18,No,Yes,3,6.41,2,0
19,Male,80,5,41,8,77708,No,School,12,Yes,Yes,6,8.7,0,0
17,Male,88,4,61,3,26663,Yes,Postgraduate,13,No,Yes,1,9.78,4,0
17,Male,50,5,56,7,29053,Yes,School,9,No,No,6,4.76,3,1
19,Male,78,1,75,8,21085,Yes,School,2,No,Yes,6,6.52,1,0
21,Female,63,4,53,9,40564,Yes,School,5,No,No,1,6.89,4,0
19,Female,99,6,49,9,99745,Yes,Postgraduate,13,Yes,Yes,1,6.26,1,0
17,Male,85,2,74,4,69095,Yes,Graduate,16,Yes,No,3,6.18,5,1
17,Female,58,6,64,6,79517,No,School,16,No,Yes,6,4.31,0,1
24,Male,43,3,42,9,31153,Yes,Postgraduate,24,Yes,No,4,8.11,5,1
18,Female,65,4,86,3,15247,Yes,School,3,No,Yes,8,6.62,4,0
19,Female,77,4,77,0,20553,No,Postgraduate,22,No,No,1,5.17,3,1
18,Male,81,1,56,2,30811,Yes,School,4,No,No,5,8.9,1,0
19,Female,71,3,51,4,16135,No,Postgraduate,11,Yes,Yes,6,8.82,0,0
23,Male,78,2,93,2,15573,Yes,School,23,No,No,1,6.92,5,1
17,Female,84,7,91,6,89267,No,Graduate,26,Yes,No,4,5.79,4,1
24,Male,85,4,63,8,17189,No,School,14,Yes,Yes,7,7.83,5,0
18,Male,75,4,68,5,90077,No,Postgraduate,29,No,Yes,3,5.73,1,0
19,Female,79,1,82,9,53646,No,School,3,Yes,No,6,5.42,1,1
25,Female,76,5,64,0,86623,No,Graduate,16,Yes,Yes,7,8.38,3,0
23,Male,72,2,75,6,63687,Yes,School,22,No,Yes,1,4.24,0,1
20,Female,75,6,97,2,78312,Yes,Postgraduate,15,Yes,Yes,1,4.57,2,0
21,Female,42,3,99,4,37564,No,Postgraduate,28,Yes,No,5,4.04,5,1
18,Male,48,4,65,9,38835,No,Graduate,10,No,No,5,4.92,1,1
24,Male,47,4,77,3,71587,No,Postgraduate,9,No,No,6,4.41,4,1
20,Female,72,6,40,9,17697,Yes,School,11,Yes,No,7,9.97,5,0
25,Male,98,2,59,4,90165,No,School,16,No,No,8,5.73,3,1
21,Male,45,5,94,4,83922,No,School,10,No,No,7,4.9,3,1
25,Male,80,4,67,5,27046,No,Postgraduate,17,Yes,No,1,5.45,1,0
20,Female,78,2,55,9,67823,No,School,19,Yes,Yes,8,9.62,1,0
21,Female,43,6,86,9,83580,Yes,School,2,No,No,6,7.12,1,0
25,Male,52,1,56,5,63370,No,School,24,Yes,No,1,6.19,2,1
24,Female,88,5,79,7,19615,No,Graduate,23,No,Yes,5,9.24,1,0
19,Male,99,3,67,7,15060,Yes,Postgraduate,2,No,Yes,4,6.37,5,0
17,Female,41,4,97,8,86436,No,Postgraduate,6,Yes,Yes,2,6.01,5,1
19,Male,99,2,51,7,70519,No,Postgraduate,19,Yes,No,8,5.24,0,1
20,Male,44,1,66,1,81117,Yes,Graduate,8,No,Yes,2,6.27,4,1
18,Female,83,3,93,9,71158,Yes,Postgraduate,26,No,No,1,5.9,1,0
17,Male,66,7,92,0,44782,Yes,Graduate,29,No,No,7,8.06,5,0
23,Female,71,2,81,9,95709,No,Graduate,3,No,No,5,5.74,5,1
24,Female,60,2,98,1,88533,No,Postgraduate,26,Yes,Yes,3,7.46,5,1
23,Male,47,3,86,1,68255,Yes,School,14,No,Yes,3,4.4,2,1
21,Male,77,1,69,2,82684,Yes,School,25,Yes,No,2,5.15,4,1
17,Female,47,7,80,9,66918,Yes,Postgraduate,16,Yes,No,4,6.44,3,1
23,Male,89,6,73,6,94284,No,Postgraduate,1,No,No,2,9.62,5,0
23,Male,42,1,76,1,89558,No,Graduate,21,Yes,Yes,1,6.26,1,1
25,Male,93,5,45,0,95549,Yes,Postgraduate,3,Yes,No,4,7.98,5,0
19,Male,83,4,46,5,91422,No,Graduate,22,No,Yes,3,5.53,4,1
25,Male,97,3,71,8,35256,Yes,Postgraduate,26,Yes,No,7,4.76,3,1
17,Female,42,6,71,2,40005,No,School,18,Yes,Yes,5,4.35,2,1
17,Female,61,7,92,5,16638,No,School,9,No,No,8,5.83,0,0
20,Male,45,3,64,2,47419,No,Postgraduate,6,No,Yes,5,4.95,1,1
25,Male,41,3,72,0,43377,No,Graduate,23,No,Yes,1,5.04,0,1
22,Male,62,1,94,4,53116,Yes,School,21,No,Yes,2,8.56,2,0
19,Female,83,4,97,9,46634,No,Graduate,25,No,Yes,1,4.1,4,1
17,Male,41,5,46,3,92291,No,Postgraduate,1,No,Yes,8,7.35,4,1
20,Female,77,2,91,6,33382,Yes,Postgraduate,21,No,Yes,5,6.28,2,0
25,Female,56,2,96,5,66063,No,School,27,Yes,No,8,7.04,5,1
19,Female,74,3,51,9,32394,Yes,Postgraduate,10,Yes,No,3,7.38,2,0
25,Male,73,4,55,6,77789,Yes,School,27,No,No,5,5.88,1,0
23,Female,62,7,55,4,10864,No,Graduate,6,Yes,No,4,5.77,3,1
20,Male,69,7,82,3,50222,No,School,23,Yes,Yes,7,8.4,0,0
19,Female,91,6,92,6,23666,Yes,School,12,No,No,8,9.23,0,0
21,Male,47,1,75,6,30955,Yes,Graduate,4,Yes,Yes,7,5.16,4,1
21,Female,61,4,52,5,91845,Yes,School,28,No,Yes,6,4.59,5,1
19,Male,83,4,46,7,79590,No,School,13,Yes,Yes,5,9.39,4,0
25,Female,97,1,75,3,76471,Yes,Postgraduate,17,No,No,5,6.1,1,0
20,Male,75,7,86,9,98314,Yes,Graduate,27,Yes,Yes,7,7.31,2,0
21,Male,44,7,90,4,53298,Yes,School,8,Yes,No,6,6.16,0,0
20,Male,52,7,48,3,73108,No,Graduate,26,Yes,No,4,4.75,1,1
21,Male,68,3,71,0,58924,Yes,Graduate,20,No,No,2,7.54,4,0
23,Female,70,4,50,7,26709,No,School,3,Yes,No,8,7.15,4,0
25,Female,86,2,47,0,19726,No,Postgraduate,12,Yes,No,8,5.22,0,1
23,Male,96,1,72,4,70824,Yes,Graduate,7,No,Yes,5,6.71,4,1
21,Female,94,7,62,5,50542,No,School,12,No,Yes,7,8.78,5,0
23,Male,55,6,64,5,30245,Yes,Graduate,2,Yes,No,1,7.54,4,1
21,Male,81,7,95,4,44753,No,Postgraduate,24,Yes,Yes,5,4.58,3,1
19,Female,69,7,47,2,89788,No,Postgraduate,14,Yes,No,1,7.29,2,0
23,Male,96,5,84,4,31316,Yes,Postgraduate,22,Yes,Yes,4,8.22,4,0
18,Male,94,3,61,7,94698,Yes,School,23,No,Yes,5,8.76,3,0
25,Female,55,1,98,1,25960,Yes,School,5,Yes,Yes,8,7.77,1,1
17,Male,51,5,43,5,40791,No,Postgraduate,9,Yes,Yes,7,4.92,4,1
22,Male,56,5,79,8,35216,No,School,21,No,Yes,4,8.26,5,1
23,Male,55,6,42,7,42467,Yes,Postgraduate,11,Yes,Yes,4,8.06,1,0
24,Male,51,4,68,7,74427,Yes,School,5,Yes,Yes,2,4.15,4,1
25,Female,47,6,80,7,72047,No,Postgraduate,3,Yes,Yes,5,6.47,0,0
18,Female,59,4,68,6,83290,No,Graduate,27,No,Yes,1,6.0,3,1
18,Female,42,4,73,7,57014,No,Postgraduate,17,No,Yes,1,8.02,3,1
21,Male,55,1,73,5,14078,Yes,Postgraduate,2,Yes,Yes,5,5.3,0,1
21,Male,69,7,67,1,88389,No,School,24,Yes,Yes,6,7.55,2,0
22,Female,84,1,52,1,60519,Yes,School,1,No,Yes,2,9.48,5,1
19,Male,62,3,54,7,14042,No,School,7,Yes,No,2,8.79,3,0
24,Male,67,4,99,0,59052,No,School,14,Yes,Yes,2,9.53,1,0
17,Male,90,5,62,5,24389,Yes,School,5,No,Yes,1,9.87,5,0
22,Male,79,7,83,5,78111,Yes,School,19,No,Yes,4,4.06,3,1
20,Female,93,2,65,3,60733,Yes,Graduate,28,No,Yes,7,7.74,2,0
17,Female,44,3,43,9,44754,No,Postgraduate,28,Yes,Yes,6,6.48,1,0
23,Female,59,1,65,2,28624,No,Postgraduate,11,Yes,Yes,8,9.16,5,1
25,Male,79,6,79,2,95886,No,Postgraduate,23,Yes,No,2,5.51,1,0
20,Female,95,3,48,0,36681,Yes,Graduate,25,Yes,No,1,9.89,0,0
20,Female,83,3,94,2,99524,No,Postgraduate,2,No,No,1,7.68,4,0
22,Male,40,7,44,3,91006,Yes,Graduate,8,Yes,Yes,8,8.76,0,0
19,Male,96,3,95,4,34704,Yes,Graduate,9,Yes,Yes,4,4.51,5,1
22,Female,69,3,71,2,17493,Yes,Graduate,27,No,Yes,8,5.1,4,1
23,Female,60,2,59,5,79639,No,Postgraduate,3,No,No,5,8.55,0,0
19,Female,59,6,89,4,64383,No,Graduate,2,Yes,Yes,5,4.13,4,1
23,Female,45,6,50,2,12994,Yes,Postgraduate,7,No,Yes,7,8.9,3,1
19,Male,61,6,54,5,79280,No,Postgraduate,5,No,No,8,4.08,1,0
18,Female,57,4,71,5,57234,Yes,School,21,Yes,No,7,7.94,4,1
20,Female,47,5,67,7,57291,Yes,School,26,Yes,Yes,2,6.19,3,1
24,Male,78,6,61,1,15594,No,Graduate,5,Yes,Yes,7,7.67,2,0
25,Female,71,3,80,0,17371,Yes,Graduate,20,Yes,Yes,2,8.18,0,0
23,Male,72,3,56,3,57315,Yes,Postgraduate,13,No,Yes,6,6.05,2,0
17,Male,92,6,98,6,93564,No,Graduate,21,No,No,7,4.65,5,1
19,Male,55,7,65,9,89526,Yes,Graduate,29,Yes,Yes,4,4.42,3,1
25,Female,51,6,83,2,26626,Yes,Postgraduate,20,Yes,Yes,2,7.53,2,0
17,Female,77,3,46,2,96005,Yes,Graduate,29,No,No,4,7.12,2,0
25,Male,91,4,81,4,17130,Yes,Graduate,6,Yes,Yes,1,8.45,3,0
24,Female,73,1,96,4,16828,Yes,Postgraduate,20,Yes,Yes,2,7.06,1,0
17,Female,53,1,65,9,67514,Yes,Postgraduate,18,Yes,No,1,6.53,4,1
22,Male,75,6,64,2,62664,Yes,School,25,Yes,No,3,6.39,5,0
21,Male,72,2,49,8,27883,No,Postgraduate,2,No,Yes,4,4.16,5,1
22,Female,62,6,98,3,53059,No,School,25,Yes,No,3,6.01,0,0
21,Male,89,7,84,2,94078,Yes,Graduate,26,No,No,2,9.86,4,0
22,Female,84,6,58,1,52932,Yes,Postgraduate,6,Yes,Yes,1,9.24,0,0
21,Female,41,1,50,9,71269,No,Postgraduate,9,Yes,No,2,5.98,5,1
21,Female,80,3,52,8,85986,No,Postgraduate,25,No,Yes,3,7.53,4,0
20,Female,60,6,92,3,95959,No,Graduate,3,Yes,Yes,8,9.08,2,0
19,Male,41,3,47,2,12035,No,School,1,No,Yes,8,6.65,1,0
19,Male,66,3,79,6,50745,No,Graduate,1,Yes,Yes,2,4.11,2,0
20,Male,96,2,43,7,27241,Yes,Graduate,19,Yes,No,6,4.45,1,1
25,Male,48,3,86,1,62975,No,Postgraduate,5,Yes,Yes,5,7.06,3,1
18,Female,40,1,70,6,33154,No,School,13,Yes,Yes,3,9.82,0,1
25,Female,50,4,67,4,35625,No,Graduate,19,Yes,Yes,2,8.16,0,0
17,Male,42,4,50,4,54950,Yes,Postgraduate,12,No,Yes,1,4.43,3,1
17,Female,91,5,82,2,66396,Yes,Graduate,16,No,No,2,5.14,4,1
21,Female,62,7,40,4,23331,Yes,Graduate,25,Yes,No,8,8.63,3,0
22,Female,65,6,88,1,73927,Yes,Postgraduate,25,Yes,No,1,9.05,5,0
22,Male,43,7,86,3,96226,Yes,Postgraduate,19,No,Yes,5,7.71,3,1
19,Male,57,1,91,5,94719,Yes,School,3,No,No,2,7.87,1,1
23,Male,94,3,77,0,73014,No,Graduate,12,Yes,No,7,4.17,5,1
25,Female,45,4,63,9,49346,Yes,Postgraduate,5,Yes,Yes,8,8.97,3,1
24,Male,74,7,93,3,80411,Yes,Postgraduate,2,No,No,7,8.73,0,0
22,Male,61,1,99,5,64478,No,School,22,Yes,Yes,5,5.55,2,1
24,Male,82,4,96,8,22254,Yes,School,7,No,No,3,8.25,1,0
21,Male,54,3,86,1,65734,No,Postgraduate,13,Yes,No,1,5.29,1,1
24,Male,61,7,70,6,38621,No,School,25,No,No,7,4.24,4,1
20,Male,99,4,80,5,86441,Yes,Postgraduate,15,No,No,6,5.21,2,0
24,Female,76,6,85,1,56121,No,Graduate,22,Yes,Yes,3,5.07,1,0
18,Female,91,6,89,7,91418,No,School,3,No,Yes,1,6.03,3,0
21,Male,81,5,65,6,70197,No,Graduate,28,Yes,No,8,6.51,1,0
25,Male,51,5,88,4,94577,No,Graduate,21,Yes,Yes,8,7.05,1,0
20,Female,86,4,89,4,52431,Yes,Graduate,20,Yes,No,8,6.86,1,0
22,Female,88,1,44,6,14837,No,Postgraduate,5,Yes,No,5,5.62,4,1
17,Male,81,6,59,8,93163,Yes,Graduate,24,No,No,7,4.18,1,0
25,Male,77,1,91,8,81232,No,Graduate,8,Yes,No,8,7.63,1,0
17,Male,57,1,80,8,58994,No,Graduate,22,Yes,No,4,6.37,4,1
21,Male,84,4,50,5,89079,No,Postgraduate,1,Yes,No,8,5.79,5,1
20,Female,74,1,95,9,22615,Yes,Graduate,8,Yes,Yes,2,9.2,2,0
19,Male,69,6,93,5,11466,Yes,Graduate,24,No,Yes,5,8.48,5,0
22,Male,63,3,72,2,40771,Yes,School,18,Yes,No,1,9.15,0,0
18,Male,81,5,89,0,93886,No,Postgraduate,20,No,Yes,1,6.97,4,0
19,Male,69,3,77,6,75911,No,Graduate,28,No,No,1,4.79,4,1
21,Female,53,1,66,3,30746,No,School,16,No,Yes,1,8.18,1,1
25,Female,45,3,73,0,98422,No,Postgraduate,18,Yes,Yes,2,5.24,1,1
18,Female,42,6,54,7,70739,Yes,Postgraduate,20,Yes,Yes,3,6.65,0,0
24,Male,55,6,71,5,83369,No,Postgraduate,12,Yes,No,6,4.39,1,1
18,Male,46,1,97,5,11893,Yes,Postgraduate,13,Yes,Yes,4,8.95,3,1
21,Female,91,4,60,1,40573,No,Postgraduate,13,No,No,2,4.76,1,0
23,Male,53,3,85,0,50874,Yes,Postgraduate,10,No,No,1,9.42,1,0
24,Male,48,4,44,1,87362,Yes,Graduate,7,Yes,No,2,9.19,3,1
17,Female,54,4,45,3,97460,No,Graduate,25,Yes,Yes,5,6.79,0,0
22,Female,60,2,77,1,43367,No,Graduate,14,Yes,Yes,6,8.47,3,1
17,Female,74,1,61,0,31199,Yes,Graduate,24,Yes,Yes,1,7.72,4,1
18,Female,41,5,57,6,84328,No,School,16,Yes,No,4,8.82,3,1
17,Male,66,6,53,7,67724,No,Graduate,15,Yes,No,1,6.59,2,0
21,Male,41,6,49,5,96133,Yes,Postgraduate,12,Yes,Yes,6,8.71,4,1
25,Female,74,1,85,3,46405,Yes,Graduate,9,No,No,4,6.77,1,0
22,Male,57,7,52,5,25989,Yes,Graduate,8,No,Yes,6,9.65,4,1
17,Female,53,7,70,2,38931,Yes,Postgraduate,18,No,Yes,4,6.92,0,0
17,Female,59,7,69,7,19290,No,Graduate,23,No,Yes,3,6.78,0,0
18,Male,57,5,42,9,48367,Yes,Graduate,18,Yes,Yes,7,8.71,3,1
25,Female,49,6,69,1,89878,Yes,Graduate,13,Yes,No,3,8.93,4,1
19,Male,64,1,45,4,89481,Yes,School,28,Yes,Yes,2,7.33,1,0
17,Male,41,6,68,0,86298,No,Graduate,27,Yes,Yes,2,5.08,0,1
21,Male,64,4,47,5,40133,Yes,Postgraduate,18,Yes,Yes,8,6.81,5,0
23,Male,93,3,83,1,37052,No,Postgraduate,15,No,Yes,4,9.81,1,0
22,Female,72,3,84,3,95489,Yes,Graduate,4,Yes,Yes,8,8.52,5,0
17,Male,75,6,82,5,50475,Yes,Graduate,17,No,Yes,8,8.87,2,0
21,Female,70,2,83,9,92666,No,Graduate,5,Yes,Yes,1,4.2,5,1
21,Female,53,5,72,7,67656,Yes,Postgraduate,22,No,No,7,6.81,0,0
22,Female,40,7,56,7,14633,Yes,Postgraduate,16,Yes,No,5,7.88,3,1
19,Female,85,5,87,5,27304,No,School,9,No,No,5,8.98,2,0
21,Male,55,5,50,3,56546,Yes,School,10,Yes,No,1,4.3,4,1
23,Male,93,4,52,7,17008,Yes,School,24,Yes,Yes,1,9.11,1,0
21,Female,85,5,89,7,58291,Yes,Postgraduate,18,Yes,No,3,7.29,0,0
21,Female,91,3,50,9,37405,Yes,School,17,Yes,No,5,5.18,2,0
21,Male,42,4,70,0,46386,No,Graduate,18,No,No,4,5.9,2,1
19,Female,74,1,67,3,30827,Yes,Graduate,7,Yes,Yes,6,5.69,0,1
17,Male,80,5,83,3,43040,No,Postgraduate,4,No,No,8,7.19,4,0
21,Female,45,5,45,6,70354,Yes,School,26,Yes,No,2,4.31,4,1
25,Male,64,1,80,6,88543,No,Graduate,5,No,Yes,8,4.95,3,1
17,Female,52,5,55,7,28157,Yes,Postgraduate,28,Yes,No,8,8.88,5,1
19,Female,92,1,43,4,45315,No,School,23,Yes,Yes,6,4.8,4,1
20,Male,73,4,74,6,45932,Yes,Graduate,16,No,No,3,5.4,3,1
17,Female,47,3,99,7,31164,No,School,3,Yes,Yes,5,6.72,5,1
17,Female,60,1,87,8,24414,No,Postgraduate,26,Yes,No,8,7.1,2,0
24,Male,73,2,95,2,24327,Yes,School,18,No,No,7,8.58,0,0
18,Female,43,1,98,2,10946,No,Postgraduate,29,Yes,No,1,6.68,4,1
24,Male,64,5,65,3,24693,Yes,School,23,No,Yes,7,8.74,3,0
23,Male,54,7,96,4,37241,Yes,Graduate,21,Yes,No,7,7.71,2,0
18,Female,43,7,51,9,25540,Yes,Postgraduate,14,No,Yes,5,4.68,4,1
22,Female,84,4,50,0,82255,Yes,Postgraduate,15,No,Yes,4,4.94,1,0
22,Female,99,6,76,6,74757,Yes,Postgraduate,17,No,Yes,3,6.62,2,0
19,Female,51,4,64,8,51203,No,School,1,No,Yes,8,6.38,4,1
18,Female,71,6,57,7,35081,Yes,School,25,Yes,No,8,8.46,2,0
17,Female,71,7,58,4,71861,Yes,Graduate,21,Yes,No,8,7.48,0,0
22,Female,67,7,62,3,21350,Yes,Postgraduate,17,No,No,1,6.33,0,0
21,Male,52,1,94,6,65512,Yes,Postgraduate,23,Yes,Yes,6,5.02,0,1
25,Female,70,3,77,4,66809,Yes,School,25,Yes,No,4,5.36,5,1
17,Male,53,2,93,6,52832,Yes,School,11,Yes,Yes,6,7.45,1,1
23,Female,59,4,57,0,38369,No,Graduate,17,No,Yes,2,6.54,0,0
21,Female,57,5,65,0,41728,No,Graduate,26,Yes,Yes,3,7.09,1,0
21,Male,68,6,45,9,27576,Yes,School,14,Yes,No,4,5.02,0,0
18,Female,99,5,43,2,39001,No,Postgraduate,29,No,No,4,7.98,5,0
19,Female,45,3,83,1,93384,Yes,Graduate,20,Yes,Yes,8,9.12,2,0
23,Male,71,6,90,1,10390,Yes,School,19,No,No,6,5.55,4,1
22,Female,68,4,68,6,97535,Yes,School,21,No,No,1,6.95,4,0
18,Female,82,1,98,9,55436,Yes,Postgraduate,7,No,Yes,2,9.85,0,0
22,Female,41,5,73,1,21569,Yes,School,24,Yes,Yes,8,6.0,4,1
18,Male,99,3,56,3,23029,No,School,13,Yes,No,8,7.57,0,0
18,Female,62,4,82,1,32490,No,Graduate,18,No,Yes,8,4.54,0,0
18,Female,58,7,82,5,55875,No,School,23,No,Yes,6,7.64,3,1
19,Female,70,7,92,7,15867,No,School,14,No,No,4,4.54,3,1
18,Female,90,4,55,9,90820,Yes,Graduate,1,No,No,3,9.76,3,0
20,Male,44,4,41,3,19121,No,Postgraduate,7,No,Yes,4,8.29,1,0
25,Male,58,4,73,4,11539,Yes,Postgraduate,8,No,No,5,8.73,3,1
22,Female,73,6,94,3,27027,No,Graduate,18,Yes,Yes,3,8.22,0,0
17,Female,49,4,47,2,84229,No,Graduate,9,No,Yes,8,7.54,5,1
24,Male,64,5,52,4,18921,No,Postgraduate,1,No,No,3,6.7,5,0
23,Male,41,3,81,8,60435,No,Postgraduate,29,No,Yes,4,9.15,2,0
19,Female,50,6,47,7,20310,Yes,Postgraduate,22,Yes,Yes,1,9.74,3,1
17,Male,89,4,69,7,73965,No,Postgraduate,17,Yes,Yes,8,6.99,5,0
21,Female,70,2,71,7,79922,No,Postgraduate,19,Yes,No,3,9.59,3,1
20,Male,95,2,75,7,92839,Yes,Graduate,27,Yes,No,5,7.5,2,0
24,Male,54,3,86,6,22242,Yes,School,6,No,No,6,7.23,5,1
17,Male,48,7,69,7,18947,No,Postgraduate,3,Yes,Yes,1,6.73,0,0
17,Male,62,1,40,7,81466,Yes,Postgraduate,24,No,Yes,1,5.26,1,1
20,Female,58,1,82,7,71816,Yes,School,5,No,No,1,4.02,3,1
24,Male,48,7,78,9,58785,Yes,School,2,No,No,3,5.45,5,1
21,Male,74,6,56,6,10507,No,School,20,No,No,1,7.06,5,0
18,Female,60,6,98,0,76972,Yes,School,25,No,Yes,4,6.28,2,0
22,Male,48,6,59,3,37151,No,School,4,No,No,1,6.69,0,0
21,Male,67,1,63,3,21618,No,School,10,Yes,Yes,5,9.88,4,1
18,Female,85,2,89,4,84286,No,Graduate,10,Yes,No,8,6.1,5,1
19,Male,90,1,61,9,26122,No,School,24,Yes,Yes,8,6.71,1,0
25,Female,46,5,68,5,17354,Yes,School,21,Yes,Yes,2,4.8,2,1
23,Female,55,4,61,3,40979,No,Graduate,11,Yes,No,5,4.29,5,1
23,Female,55,6,83,1,96436,Yes,School,27,No,Yes,3,8.65,5,1
22,Female,99,2,48,5,89376,No,Postgraduate,16,Yes,No,1,7.42,2,0
24,Male,72,3,76,7,62774,Yes,Postgraduate,26,Yes,Yes,1,8.56,2,0
20,Female,43,3,49,7,15037,No,School,29,Yes,Yes,4,4.9,3,1
24,Male,43,4,75,6,38633,Yes,Graduate,29,No,No,6,7.43,5,1
20,Male,78,2,76,5,34495,No,Postgraduate,17,No,Yes,1,5.52,4,1
24,Male,79,1,67,1,74550,No,Graduate,16,No,No,7,5.37,1,1
25,Male,56,1,67,6,91384,Yes,Postgraduate,7,Yes,No,5,4.07,0,1
